Etruscans,Italians
141,133.0
148,138.0
132,130.0
138,138.0
154,134.0
142,127.0
150,128.0
146,138.0
155,136.0
158,131.0
150,126.0
140,120.0
147,124.0
148,132.0
144,132.0
150,125.0
149,139.0
145,127.0
149,133.0
158,136.0
143,121.0
141,131.0
144,125.0
144,130.0
126,129.0
140,125.0
144,136.0
142,131.0
141,132.0
140,127.0
145,129.0
135,132.0
147,116.0
146,134.0
141,125.0
136,128.0
140,139.0
146,132.0
142,130.0
137,132.0
148,128.0
154,139.0
137,135.0
139,133.0
143,128.0
140,130.0
131,130.0
143,143.0
141,144.0
149,137.0
148,140.0
135,136.0
148,135.0
152,126.0
143,139.0
144,131.0
141,133.0
143,138.0
147,133.0
146,137.0
150,140.0
132,130.0
142,137.0
142,134.0
143,130.0
153,148.0
149,135.0
146,138.0
149,135.0
138,138.0
142,
149,
142,
137,
134,
144,
146,
147,
140,
142,
140,
137,
152,
145,
