Country,Mathematics,Science,Reading
 China (B-S-J-Z)[note 1],591,590,555
 Singapore,569,551,549
 Macau,558,544,525
 Hong Kong,551,517,524
 Taiwan,531,516,503
 Japan,527,529,504
 Korea,526,519,514
 Estonia,523,530,523
 Netherlands,519,503,485
 Poland,516,511,512
  Switzerland,515,495,484
 Canada,512,518,520
 Denmark,509,493,501
 Slovenia,509,507,495
 Belgium,508,499,493
 Finland,507,522,520
 Sweden,502,499,506
 United Kingdom,502,505,504
 Norway,501,490,499
 Germany,500,503,498
 Ireland,500,496,518
 Czech Republic,499,497,490
 Austria,499,490,484
 Vietnam,496,543,505
 Latvia,496,487,479
 France,495,493,493
 Iceland,495,475,474
 New Zealand,494,508,506
 Portugal,492,492,492
 Australia,491,503,503
 Russia,488,478,479
 Italy,487,468,476
 Slovakia,486,464,458
 Luxembourg,483,477,470
 Spain,481,483,#N/A
 Lithuania,481,482,476
 Hungary,481,481,476
 United States,478,502,505
 Belarus,472,471,474
 Malta,472,457,448
 Croatia,464,472,479
 Israel,463,462,470
 Turkey,454,468,466
 Ukraine,453,469,466
 Greece,451,452,457
 Cyprus,451,439,424
 Serbia,448,440,439
 Malaysia,440,438,415
 Albania,437,417,405
 Bulgaria,436,424,420
 United Arab Emirates,435,434,432
 Brunei,430,431,408
 Romania,430,426,428
 Montenegro,430,415,421
 Kazakhstan,423,397,387
 Moldova,421,428,424
 Azerbaijan,420,398,389
 Thailand,419,426,393
 Uruguay,418,426,427
 Chile,417,444,452
 Qatar,414,419,407
 Mexico,409,419,420
 Bosnia and Herzegovina,406,398,403
 Costa Rica,402,416,426
 Peru,400,404,401
 Jordan,400,429,419
 Georgia,398,383,380
 North Macedonia,394,413,393
 Lebanon,393,384,353
 Colombia,391,413,412
 Brazil,384,404,413
 Argentina,379,404,402
 Indonesia,379,396,371
 Saudi Arabia,373,386,399
 Morocco,368,377,359
 Kosovo,366,365,353
 Panama,353,365,377
 Philippines,353,357,340
 Dominican Republic,325,336,342
