Popped,long,short,Color,Kernel_pices
1,22.7,20.26,W,3
1,29.44,12.63,W,4
1,19.97,12.52,W,1
1,30.5,8.82,Y,2
0,5.55,4.68,B,1
1,21.18,20.28,Y,2
1,26.12,17.22,Y,1
0,8.38,4.33,B,1
1,31.87,16.62,W,3
1,14.4,10.34,W,2
1,23.4,13.32,W,4
1,33.64,23.25,W,3
0,8.12,7.38,B,1
1,14.36,9.86,W,4
1,23.23,14.62,W,5
1,23.04,12.05,Y,2
1,16.47,9.07,W,1
1,23.25,14.62,W,1
1,6.58,3.08,W,1
1,34.06,12.32,W,4
1,33.46,8.16,W,6
1,25.8,17.67,Y,2
1,20.52,11.05,Y,3
1,33.75,11.73,W,2
1,14.4,7.61,W,2
0,6.57,5.16,Y,1
1,25.99,8.34,Y,2
1,10.44,5.61,W,1
1,7.44,4.67,Y,0
1,26.87,14.17,Y,5
1,14.06,11.22,W,4
1,25.57,21.58,Y,5
1,23.77,17.11,W,2
1,17.14,11.21,W,1
1,28.93,11.96,W,2
1,20.64,11.66,W,7
1,32.16,12.08,W,4
1,25.72,14.22,W,7
1,26.63,9.47,W,6
1,19.64,14.21,Y,1
1,19.95,12.1,W,2
1,26.78,10.98,W,9
1,14.71,7.85,Y,1
1,27.49,13.83,W,2
1,4.41,1.96,Y,0
1,6.48,3.38,W,0
1,4.4,2.12,W,1
1,5.18,2.77,W,0
